date,symbol,score

2026-06-01,LT.NS,38.71
2026-06-01,INFY.NS,37.21
2026-06-01,TCS.NS,25.0
2026-06-01,HDFCBANK.NS,20.23
2026-06-01,ITC.NS,19.02
2026-06-01,SBIN.NS,9.9
2026-06-01,RELIANCE.NS,9.04
2026-06-01,ICICIBANK.NS,8.49
2026-06-01,LT.NS,38.71
2026-06-01,INFY.NS,37.21
2026-06-01,TCS.NS,25.0
2026-06-01,HDFCBANK.NS,20.23
2026-06-01,ITC.NS,19.02
2026-06-01,SBIN.NS,9.9
2026-06-01,RELIANCE.NS,9.04
2026-06-01,ICICIBANK.NS,8.49
2026-06-01,LT.NS,38.71
2026-06-01,INFY.NS,37.21
2026-06-01,TCS.NS,25.0
2026-06-01,HDFCBANK.NS,20.23
2026-06-01,ITC.NS,19.02
2026-06-01,SBIN.NS,9.9
2026-06-01,RELIANCE.NS,9.04
2026-06-01,ICICIBANK.NS,8.49
2026-06-01,LT.NS,38.71
2026-06-01,INFY.NS,37.21
2026-06-01,TCS.NS,25.0
2026-06-01,HDFCBANK.NS,20.23
2026-06-01,ITC.NS,19.02
2026-06-01,SBIN.NS,9.9
2026-06-01,RELIANCE.NS,9.04
2026-06-01,ICICIBANK.NS,8.49
